uniprot_acc,Tm,organism,n_measurements
B4DJE5,50.9,Homo sapiens,1
B4DJG9,52.175555555555555,Homo sapiens,9
B4DJI5,51.995000000000005,Homo sapiens,2
B4DJN2,60.95,Homo sapiens,1
B4DJN5,50.11,Homo sapiens,2
B4DJP7,60.58846153846154,Homo sapiens,13
B4DJR4,54.77,Homo sapiens,1
B4DJV2,51.45590909090909,Homo sapiens,22
B4DJV5,60.38666666666666,Homo sapiens,3
B4DJZ1,64.04,Homo sapiens,3
B4DK44,51.129999999999995,Homo sapiens,3
B4DK69,50.43666666666667,Homo sapiens,3
B4DK80,46.52285714285714,Homo sapiens,7
B4DK95,53.165,Homo sapiens,6
B4DKB2,54.59,Homo sapiens,6
B4DKF9,54.8625,Homo sapiens,8
B4DKG8,52.5,Homo sapiens,2
B4DKJ3,55.24400000000001,Homo sapiens,5
B4DKL4,55.448,Homo sapiens,5
B4DKV7,55.36,Homo sapiens,2
B4DL05,49.81333333333333,Homo sapiens,3
B4DL14,54.12692307692308,Homo sapiens,13
B4DL54,52.642999999999994,Homo sapiens,20
B4DL79,48.025999999999996,Homo sapiens,5
B4DLB1,48.78,Homo sapiens,1
B4DLE8,48.309999999999995,Homo sapiens,13
B4DLH2,58.49,Homo sapiens,1
B4DLM5,61.08,Human body fluids,1
B4DLN1,55.348,Homo sapiens,5
B4DLR8,50.568333333333335,Homo sapiens,12
B4DLT4,50.79076923076923,Homo sapiens,13
B4DLU3,50.620000000000005,Homo sapiens,8
B4DLV2,52.91,Homo sapiens,1
B4DLV4,68.31,Homo sapiens,1
B4DLW8,51.67111111111112,Homo sapiens,9
B4DLZ9,53.535714285714285,Homo sapiens,14
B4DM89,58.055,Homo sapiens,2
B4DMD6,55.56,Homo sapiens,1
B4DME9,52.01666666666667,Homo sapiens,3
B4DMG7,52.53,Homo sapiens,2
B4DMI0,52.56,Homo sapiens,1
B4DMK0,56.41,Homo sapiens,1
B4DMM8,51.93,Homo sapiens,4
B4DMU4,49.76428571428572,Homo sapiens,7
B4DMX0,56.35,Homo sapiens,4
B4DN34,47.782,Homo sapiens,5
B4DN73,47.65,Homo sapiens,2
B4DNC9,52.22,Homo sapiens,2
B4DNI9,46.65,Homo sapiens,1
B4DNK1,50.53,Homo sapiens,1
B4DNW0,64.635,Homo sapiens,2
B4DNX9,48.169999999999995,Homo sapiens,3
B4DNZ5,45.875,Homo sapiens,2
B4DNZ7,46.144999999999996,Homo sapiens,2
B4DP11,50.042500000000004,Homo sapiens,4
B4DP21,52.83555555555555,Homo sapiens,18
B4DP38,58.365,Homo sapiens,6
B4DP55,46.78,Homo sapiens,2
B4DP61,54.92,Homo sapiens,2
B4DP62,48.67,Homo sapiens,2
B4DPI2,48.86,Homo sapiens,1
B4DPM9,56.6,Homo sapiens,1
B4DPR4,53.29125,Homo sapiens,8
B4DPV4,57.64,Homo sapiens,1
B4DPY5,50.91272727272727,Homo sapiens,11
B4DPY8,51.569,Homo sapiens,10
B4DQ14,54.04600000000001,Homo sapiens,10
B4DQ18,64.26,Homo sapiens,1
B4DQ22,47.69,Homo sapiens,1
B4DQ47,47.64,Homo sapiens,1
B4DQ51,47.0275,Homo sapiens,4
B4DQ84,61.66,Homo sapiens,1
B4DQ94,62.37,Homo sapiens,1
B4DQA8,57.23,Homo sapiens,3
B4DQE7,46.27428571428572,Homo sapiens,7
B4DQH9,52.370000000000005,Homo sapiens,4
B4DQI6,50.23285714285714,Homo sapiens,7
B4DQJ8,54.08363636363636,Homo sapiens,22
B4DQL0,52.95,Homo sapiens,2
B4DQP0,50.64,Homo sapiens,2
B4DQP1,51.195,Homo sapiens,2
B4DQT1,51.89,Homo sapiens,1
B4DQV4,49.015,Homo sapiens,2
B4DR03,47.29,Homo sapiens,5
B4DR12,55.126666666666665,Homo sapiens,3
B4DR52,50.147999999999996,Homo sapiens,5
B4DR61,58.49727272727273,Homo sapiens,11
B4DR67,48.36333333333334,Homo sapiens,3
B4DR80,51.38833333333333,Homo sapiens,12
B4DR94,58.28,Homo sapiens,2
B4DRC4,49.35,Homo sapiens,5
B4DRI8,49.46,Homo sapiens,1
B4DRL8,52.74,Homo sapiens,1
B4DRL9,53.83277777777778,Homo sapiens,18
B4DRM7,52.50666666666666,Homo sapiens,3
B4DRN7,60.0,Homo sapiens,1
B4DRN8,58.045,Homo sapiens,4
B4DRS7,51.96999999999999,Homo sapiens,7
B4DRV7,45.36,Homo sapiens,1
B4DS52,56.593333333333334,Homo sapiens,3
B4DS55,47.63333333333333,Homo sapiens,3
B4DS61,51.58,Homo sapiens,2
B4DS76,49.925,Homo sapiens,2
B4DSD4,52.348461538461535,Homo sapiens,13
B4DSF9,48.9075,Homo sapiens,4
B4DSH5,55.74,Homo sapiens,1
B4DSJ0,44.49,Homo sapiens,1
B4DSJ8,53.16,Homo sapiens,1
B4DSN5,48.76,Homo sapiens,1
B4DSR5,51.52,Homo sapiens,1
B4DSS5,48.22555555555555,Homo sapiens,9
B4DSS8,47.69428571428572,Homo sapiens,7
B4DST5,52.13,Homo sapiens,1
B4DT55,53.134,Homo sapiens,5
B4DT77,51.27333333333333,Homo sapiens,21
B4DT96,51.4,Homo sapiens,1
B4DTA3,54.83571428571429,Homo sapiens,7
B4DTC3,48.37,Homo sapiens,1
B4DTG6,61.345,Homo sapiens,2
B4DTU4,50.9375,Homo sapiens,8
B4DTY9,58.97,Homo sapiens,1
B4DTZ6,54.574999999999996,Homo sapiens,6
B4DU60,53.065,Homo sapiens,2
B4DUB9,56.02285714285714,Homo sapiens,7
B4DUE3,50.080000000000005,Homo sapiens,3
B4DUE9,56.39375,Homo sapiens,8
B4DUI3,55.985,Homo sapiens,2
B4DUR0,58.16,Homo sapiens,1
B4DUS9,56.09384615384616,Homo sapiens,13
B4DUV4,59.935,Homo sapiens,2
B4DUY4,49.385000000000005,Homo sapiens,2
B4DV51,59.345,Homo sapiens,2
B4DV96,64.56,Homo sapiens,1
B4DVB0,43.34,Homo sapiens,1
B4DVE7,49.666666666666664,Homo sapiens,18
B4DVG8,48.41,Homo sapiens,1
B4DVH1,50.553333333333335,Homo sapiens,3
B4DVN5,48.21,Homo sapiens,1
B4DVT3,49.6725,Homo sapiens,4
B4DVY1,48.4645,Homo sapiens,20
B4DVZ6,48.1,Homo sapiens,2
B4DW75,60.19,Homo sapiens,1
B4DW83,50.665,Homo sapiens,2
B4DWA1,52.405,Homo sapiens,2
B4DWB0,50.635000000000005,Homo sapiens,2
B4DWI1,57.89176470588235,Homo sapiens,17
B4DWJ2,51.51666666666667,Homo sapiens,3
B4DWL9,53.16,Homo sapiens,1
B4DWR1,49.37,Homo sapiens,2
B4DWS9,50.385,Homo sapiens,2
B4DWW1,51.69,Homo sapiens,4
B4DWW4,51.18,Homo sapiens,2
B4DX32,48.754999999999995,Homo sapiens,2
B4DXA9,51.72,Homo sapiens,1
B4DXI0,59.78,Human body fluids,1
B4DXK0,43.09,Homo sapiens,1
B4DXK4,52.085,Homo sapiens,4
B4DXN4,48.935,Homo sapiens,2
B4DXP9,50.89666666666667,Homo sapiens,3
B4DXW4,50.765,Homo sapiens,4
B4DXX7,47.82,Homo sapiens,1
B4DXZ6,49.18421052631579,Homo sapiens,19
B4DY13,46.015,Homo sapiens,2
B4DY26,48.838,Homo sapiens,5
B4DY82,56.7,Homo sapiens,1
B4DYB4,54.84722222222222,Homo sapiens,18
B4DYI6,50.99,Homo sapiens,3
B4DYR1,51.965,Homo sapiens,2
B4DYR7,55.64,Homo sapiens,2
B4DYV9,49.885000000000005,Homo sapiens,2
B4DZ23,64.59,Homo sapiens,1
B4DZ67,51.18,Homo sapiens,2
B4DZ85,46.88,Homo sapiens,1
B4DZC3,55.96,Homo sapiens,2
B4DZG6,51.855000000000004,Homo sapiens,2
B4DZG7,51.25625,Homo sapiens,8
B4DZH6,50.74764705882353,Homo sapiens,17
B4DZI8,49.75,Homo sapiens,1
B4DZJ8,51.18,Homo sapiens,2
B4DZK7,64.17,Homo sapiens,1
B4DZN9,50.46,Homo sapiens,1
B4DZP4,58.43333333333334,Homo sapiens,3
B4DZU3,50.36,Homo sapiens,1
B4DZW6,52.023,Homo sapiens,10
B4E042,51.34,Homo sapiens,1
B4E072,61.010000000000005,Homo sapiens,5
B4E0E3,54.169999999999995,Homo sapiens,3
B4E0F2,46.636,Homo sapiens,5
B4E0G4,50.76428571428572,Homo sapiens,7
B4E0G6,53.07,Homo sapiens,1
B4E0K3,52.25,Homo sapiens,2
B4E0K5,44.76,Homo sapiens,1
B4E0S5,51.108,Homo sapiens,10
B4E0T2,47.49307692307692,Homo sapiens,13
B4E0T7,47.64125,Homo sapiens,8
B4E0V0,53.305,Homo sapiens,4
B4E0Y9,50.914,Homo sapiens,5
B4E107,52.25,Homo sapiens,7
B4E171,49.123333333333335,Homo sapiens,3
B4E1D7,51.32,Homo sapiens,4
B4E1G1,59.67,Homo sapiens,2
B4E1J0,54.51666666666667,Homo sapiens,6
B4E1K7,56.68,Homo sapiens,3
B4E1M0,55.85999999999999,Homo sapiens,6
B4E1M5,52.24,Homo sapiens,1
B4E1N1,43.82833333333334,Homo sapiens,6
B4E1N6,51.5625,Homo sapiens,4
B4E1Q4,53.29857142857143,Homo sapiens,14
B4E1Q6,62.495000000000005,Homo sapiens,2
B4E1Z4,51.66,Homo sapiens,4
B4E241,55.5925,Homo sapiens,8
B4E2B6,51.00333333333333,Homo sapiens,3
B4E2S7,61.54,Human body fluids,1
B4E2T8,50.8,Homo sapiens,1
B4E2V5,56.73363636363637,Homo sapiens,11
B4E2W0,51.16117647058824,Homo sapiens,17
B4E2X3,48.01,Homo sapiens,18
B4E2X7,47.71,Homo sapiens,1
B4E2Z0,57.23,Homo sapiens,1
B4E321,52.71,Homo sapiens,1
B4E351,58.407999999999994,Homo sapiens,5
B4E3E5,51.247,Homo sapiens,10
B4E3J8,46.47,Homo sapiens,2
B4E3L3,44.225,Homo sapiens,2
B4E3Q1,54.33,Homo sapiens,2
B4E3Q4,55.53333333333333,Homo sapiens,6
B4E3T2,50.120000000000005,Homo sapiens,2
B4E3W0,58.489999999999995,Homo sapiens,2
B4E3W1,49.510000000000005,Homo sapiens,2
B4E3X6,43.37,Caenorhabditis elegans,1
B4F6P1,50.44,Danio rerio,1
B4F6Q6,49.84,Danio rerio,1
B4HEM8,40.5,Drosophila melanogaster,1
B4HFV9,39.44,Drosophila melanogaster,1
B4HHG8,40.3,Drosophila melanogaster,1
B4HI06,42.24,Drosophila melanogaster,1
B4HK67,39.48,Drosophila melanogaster,1
B4HKS2,39.45,Drosophila melanogaster,1
B4HMY3,39.97,Drosophila melanogaster,1
B4HN85,48.03,Drosophila melanogaster,1
B4HR35,40.28,Drosophila melanogaster,1
B4HR78,44.63,Drosophila melanogaster,1
B4HS00,44.6,Drosophila melanogaster,1
B4I195,37.81,Drosophila melanogaster,1
B4I1C2,39.75,Drosophila melanogaster,1
B4I5P7,43.48,Drosophila melanogaster,1
B4I7U3,40.63,Drosophila melanogaster,1
B4I8G2,42.05,Drosophila melanogaster,1
B4IAA7,40.39,Drosophila melanogaster,1
B4II68,45.3,Drosophila melanogaster,1
B4IL76,39.97,Drosophila melanogaster,1
B4IMI7,41.87,Drosophila melanogaster,1
B4NTY9,40.49,Drosophila melanogaster,1
B4NXB9,42.34,Drosophila melanogaster,1
B4P116,52.2,Drosophila melanogaster,1
B4P1N5,50.85,Drosophila melanogaster,1
B4P2Y8,40.38,Drosophila melanogaster,1
B4P5F7,40.26,Drosophila melanogaster,1
B4P624,44.26,Drosophila melanogaster,1
B4P9A8,39.84,Drosophila melanogaster,1
B4PEU8,38.12,Drosophila melanogaster,1
B4PJV6,45.13,Drosophila melanogaster,1
B4PU77,41.78,Drosophila melanogaster,1
B4PXF5,47.26,Drosophila melanogaster,1
B4PY69,43.81,Drosophila melanogaster,1
B4PYH5,43.45,Drosophila melanogaster,1
B4PZ52,41.08,Drosophila melanogaster,1
B4Q034,38.19,Drosophila melanogaster,1
B4Q4M7,39.21,Drosophila melanogaster,1
B4Q5D5,41.36,Drosophila melanogaster,1
B4Q785,45.75,Drosophila melanogaster,1
B4Q8A7,39.92,Drosophila melanogaster,1
B4QBH8,44.49,Drosophila melanogaster,1
B4QCR6,39.06,Drosophila melanogaster,1
B4QE02,40.21,Drosophila melanogaster,1
B4QEE3,39.94,Drosophila melanogaster,1
B4QFD2,41.43,Drosophila melanogaster,1
B4QGZ1,44.76,Drosophila melanogaster,1
B4QHD6,45.09,Drosophila melanogaster,1
B4QHG6,48.79,Drosophila melanogaster,1
B4QHU5,46.2,Drosophila melanogaster,1
B4QIG6,44.03,Drosophila melanogaster,1
B4QJ46,37.17,Drosophila melanogaster,1
B4QLP9,43.29,Drosophila melanogaster,1
B4QPR1,37.22,Drosophila melanogaster,1
B4QQE2,44.8,Drosophila melanogaster,1
B4QR64,39.87,Drosophila melanogaster,1
B4QRJ0,42.38,Drosophila melanogaster,1
B4QSF0,36.73,Drosophila melanogaster,1
B4QTL6,44.04,Drosophila melanogaster,1
B4QV17,39.47,Drosophila melanogaster,1
B4QVL3,38.72,Drosophila melanogaster,1
B4QWH9,45.97,Drosophila melanogaster,1
B4QX46,46.99,Drosophila melanogaster,1
B4QZ45,39.01,Drosophila melanogaster,1
B4QZI8,40.45,Drosophila melanogaster,1
B4R313,47.64,Drosophila melanogaster,1
B4R345,48.74,Drosophila melanogaster,1
B4R4E9,45.03,Drosophila melanogaster,1
B5A8L9,52.03,Danio rerio,1
B5AK60,54.760000000000005,Homo sapiens,2
B5BM28,32.51,Caenorhabditis elegans,1
B5BM39,39.86,Caenorhabditis elegans,1
B5DDE8,46.63,Danio rerio,1
B5DDL4,54.32,Danio rerio,1
B5DE28,50.35,Danio rerio,1
B5DE36,51.64,Danio rerio,1
B5DE37,46.9,Danio rerio,1
B5LZ08,49.52,Danio rerio,1
B5MBW9,50.12,Homo sapiens,1
B5MBX0,49.58,Homo sapiens,4
B5MBX2,51.6,Homo sapiens,1
B5MBX5,55.17857142857143,Homo sapiens,7
B5MBZ0,52.438,Homo sapiens,5
B5MC02,50.17,Homo sapiens,1
B5MC15,57.29,Homo sapiens,1
B5MC20,54.96,Homo sapiens,2
B5MC51,51.5975,Homo sapiens,4
B5MC53,55.628,Homo sapiens,5
B5MC59,53.331999999999994,Homo sapiens,5
B5MC80,48.07,Homo sapiens,1
B5MCA4,52.37285714285714,Homo sapiens,7
B5MCD7,56.25333333333333,Homo sapiens,3
B5MCF9,47.27588235294118,Homo sapiens,17
B5MCK8,51.54,Homo sapiens,1
B5MCM0,57.785,Homo sapiens,2
B5MCN0,44.8,Homo sapiens,1
B5MCN7,50.88166666666667,Homo sapiens,6
B5MCP9,47.56,Homo sapiens,3
B5MCQ4,49.55,Homo sapiens,1
B5MCQ5,57.16,Homo sapiens,2
B5MCT7,50.801,Homo sapiens,10
B5MCT8,45.25,Homo sapiens,1
B5MCT9,47.22,Homo sapiens,3
B5MCU0,54.51833333333334,Homo sapiens,6
B5MCU4,47.02,Homo sapiens,1
B5MCV2,48.86,Homo sapiens,1
B5MCX3,58.88666666666666,Homo sapiens,3
B5MD23,63.19,Homo sapiens,1
B5MD37,50.54,Homo sapiens,1
B5MD38,46.17,Homo sapiens,1
B5MD46,52.1675,Homo sapiens,4
B5MD58,47.675,Homo sapiens,2
B5MDB6,49.959999999999994,Homo sapiens,2
B5MDE0,60.5611111111111,Homo sapiens,9
B5MDF5,56.2925,Homo sapiens,4
B5MDU3,50.81,Homo sapiens,1
B5MDU6,50.93,Homo sapiens,13
B5ME25,46.044,Homo sapiens,5
B5MEB3,51.71333333333333,Homo sapiens,3
B5MEC7,48.4,Homo sapiens,1
B5WWL2,46.36,Caenorhabditis elegans,1
B5WY16,50.83,Danio rerio,1
B6EUL7,49.89,Danio rerio,1
B6HY63,49.33,Homo sapiens,2
B6VQ60,43.69,Caenorhabditis elegans,1
B6VQ62,40.33,Caenorhabditis elegans,1
B6VQ73,42.74,Caenorhabditis elegans,1
B6VQ83,49.11,Caenorhabditis elegans,1
B6YY24,52.425,Mus musculus,2
B7FAS0,41.93,Caenorhabditis elegans,1
B7FAS6,51.65,Caenorhabditis elegans,1
B7FAS8,40.46,Caenorhabditis elegans,1
B7FAU2,45.64,Mus musculus,1
B7FAU9,47.595,Mus musculus,2
B7WN71,46.16,Caenorhabditis elegans,1
B7WN92,39.57,Caenorhabditis elegans,1
B7WNB3,45.55,Caenorhabditis elegans,1
B7WNB4,34.18,Caenorhabditis elegans,1
B7WNQ9,47.696666666666665,Homo sapiens,3
B7WNT5,42.36,Homo sapiens,2
B7WP27,47.931875,Homo sapiens,16
B7WPD9,45.28,Human body fluids,1
B7WPE2,51.391818181818174,Homo sapiens,11
B7WPG3,47.36,Homo sapiens,2
B7WPJ3,55.41,Homo sapiens,1
B7WPL0,47.178,Homo sapiens,5
B7WPL9,55.46,Homo sapiens,1
B7WPP2,58.2,Homo sapiens,1
B7Z031,45.34,Drosophila melanogaster,1
B7Z1I0,46.91,Homo sapiens,1
B7Z1I8,49.47,Homo sapiens,1
B7Z1J9,64.18,Homo sapiens,1
B7Z1L3,49.730000000000004,Homo sapiens,2
B7Z1N3,51.39666666666667,Homo sapiens,3
B7Z1R5,54.771428571428565,Homo sapiens,7
B7Z1T4,53.5575,Homo sapiens,4
B7Z1U0,56.79,Homo sapiens,1
B7Z1W9,48.845,Homo sapiens,4
B7Z202,50.135000000000005,Homo sapiens,2
B7Z207,45.03,Homo sapiens,1
B7Z242,49.73666666666667,Homo sapiens,3
B7Z254,55.342499999999994,Homo sapiens,20
B7Z291,52.49777777777778,Homo sapiens,9
B7Z2B2,59.276666666666664,Homo sapiens,3
B7Z2C3,50.977999999999994,Homo sapiens,5
B7Z2G1,51.4925,Homo sapiens,4
B7Z2L0,58.15,Homo sapiens,1
B7Z2L7,57.61,Homo sapiens,1
B7Z2R9,56.614999999999995,Homo sapiens,2
B7Z2S5,68.91999999999999,Homo sapiens,2
B7Z2T3,50.373333333333335,Homo sapiens,3
B7Z2V9,51.11,Homo sapiens,1
B7Z2X9,59.189,Homo sapiens,10
B7Z2Y2,49.175714285714285,Homo sapiens,7
B7Z2Y5,47.3625,Homo sapiens,4
B7Z314,57.01,Homo sapiens,1
B7Z341,53.195,Homo sapiens,4
B7Z367,52.5,Homo sapiens,3
B7Z382,56.915,Homo sapiens,4
B7Z385,50.19333333333333,Homo sapiens,3
B7Z3A7,52.099999999999994,Homo sapiens,2
B7Z3B9,53.720000000000006,Homo sapiens,5
B7Z3D5,49.935,Homo sapiens,2
B7Z3I5,51.99,Homo sapiens,1
B7Z3I9,56.205000000000005,Homo sapiens,6
B7Z3K1,57.79,Homo sapiens,1
B7Z3P1,48.51444444444444,Homo sapiens,9
B7Z3R2,51.94,Homo sapiens,2
B7Z3T9,44.78666666666667,Homo sapiens,3
B7Z3Y2,52.50666666666667,Homo sapiens,3
B7Z456,53.0,Homo sapiens,2
B7Z463,53.99400000000001,Homo sapiens,10
B7Z491,48.925,Homo sapiens,2
B7Z493,50.88166666666667,Homo sapiens,6
B7Z4K4,49.62,Homo sapiens,1
B7Z4K6,60.425,Homo sapiens,2
B7Z4L4,49.519999999999996,Homo sapiens,2
B7Z4M2,53.34,Homo sapiens,2
B7Z4R0,47.985,Homo sapiens,4
B7Z4R5,52.59,Homo sapiens,1
B7Z4T2,50.05,Homo sapiens,1
B7Z4U0,54.900000000000006,Homo sapiens,2
B7Z4V9,51.71,Homo sapiens,2
B7Z4W5,56.801538461538456,Homo sapiens,13
B7Z583,56.315,Homo sapiens,4
B7Z589,56.035,Homo sapiens,4
B7Z5C3,48.86333333333334,Homo sapiens,3
B7Z5D1,55.38,Homo sapiens,1
B7Z5G4,53.24,Homo sapiens,1
B7Z5N5,49.604,Homo sapiens,5
B7Z5N6,51.18,Homo sapiens,2
B7Z5R0,51.48,Homo sapiens,1
B7Z5R1,47.19,Homo sapiens,1
B7Z5R6,56.04,Homo sapiens,3
B7Z5W1,61.90555555555555,Homo sapiens,9
B7Z5X7,49.6375,Homo sapiens,8
B7Z632,45.84,Homo sapiens,1
B7Z637,49.22625,Homo sapiens,8
B7Z641,47.83,Homo sapiens,1
B7Z652,52.51,Homo sapiens,2
B7Z662,47.786,Homo sapiens,5
B7Z683,51.275,Homo sapiens,4
B7Z6B6,52.69,Homo sapiens,3
B7Z6B8,54.491,Homo sapiens,20
B7Z6J6,53.004999999999995,Homo sapiens,2
B7Z6L5,50.27,Homo sapiens,1
B7Z6M3,50.355,Homo sapiens,2
B7Z6M4,57.12,Homo sapiens,7
B7Z6P0,50.16,Homo sapiens,1
B7Z729,60.906666666666666,Homo sapiens,6
B7Z755,55.52333333333333,Homo sapiens,3
B7Z765,52.31,Homo sapiens,1
B7Z779,62.099999999999994,Homo sapiens,3
B7Z7A3,46.18,Homo sapiens,1
B7Z7F1,52.8,Homo sapiens,1
B7Z7F3,58.705555555555556,Homo sapiens,9
B7Z7F9,54.5175,Homo sapiens,4
B7Z7G5,48.629999999999995,Homo sapiens,3
B7Z7H3,51.629999999999995,Homo sapiens,4
B7Z7J3,50.302499999999995,Homo sapiens,4
B7Z7N6,45.56,Homo sapiens,2
B7Z7N9,53.47,Homo sapiens,1
B7Z7X8,51.56666666666666,Homo sapiens,6
B7Z815,48.66619047619048,Homo sapiens,21
B7Z817,52.65866666666667,Homo sapiens,15
B7Z831,64.66,Homo sapiens,1
B7Z844,50.900000000000006,Homo sapiens,2
B7Z848,50.76,Homo sapiens,1
B7Z8H2,46.1325,Homo sapiens,4
B7Z8K9,49.52666666666667,Homo sapiens,3
B7Z8V7,52.1975,Homo sapiens,4
B7Z941,58.2,Homo sapiens,1
B7Z9I1,58.02333333333333,Homo sapiens,3
B7Z9I3,52.495000000000005,Homo sapiens,10
B7Z9J4,50.36000000000001,Homo sapiens,3
B7Z9K1,50.125,Homo sapiens,2
B7Z9S8,56.74111111111111,Homo sapiens,9
B7Z9U0,50.465,Homo sapiens,2
B7Z9X4,54.755,Homo sapiens,2
B7ZA47,50.97,Homo sapiens,2
B7ZAA0,52.59571428571429,Homo sapiens,7
B7ZAB3,50.25,Homo sapiens,2
B7ZAP0,54.275,Homo sapiens,2
B7ZAR1,49.39,Homo sapiens,1
B7ZAX5,54.68666666666667,Homo sapiens,9
B7ZBB8,53.88285714285714,Homo sapiens,7
B7ZBJ4,49.373333333333335,Homo sapiens,3
B7ZBM3,43.275000000000006,Homo sapiens,2
B7ZBM4,49.49,Homo sapiens,1
B7ZBP5,49.27,Homo sapiens,1
B7ZBQ3,54.115,Homo sapiens,2
B7ZC21,50.9,Mus musculus,1
B7ZC38,49.02214285714285,Homo sapiens,14
B7ZC39,51.5,Homo sapiens,2
B7ZC46,53.07,Mus musculus,2
B7ZCI7,48.11,Danio rerio,1
B7ZCJ0,50.2,Mus musculus,1
B7ZCU2,49.65,Mus musculus,2
B7ZCZ0,50.84,Danio rerio,1
B7ZD09,50.17,Danio rerio,1
B7ZD32,45.19,Danio rerio,1
B7ZDA3,48.4,Danio rerio,1
B7ZDB7,55.77,Danio rerio,1
B7ZDD1,51.84,Danio rerio,1
B7ZKK9,49.778499999999994,Homo sapiens,20
B7ZKM0,52.81,Homo sapiens,2
B7ZKP8,50.08166666666667,Homo sapiens,6
B7ZKQ9,60.39142857142857,Homo sapiens,7
B7ZKT6,51.906666666666666,Homo sapiens,3
B7ZL82,53.595,Homo sapiens,2
B7ZL88,57.315,Homo sapiens,12
B7ZLM8,57.11,Homo sapiens,1
B7ZLP8,53.14333333333334,Homo sapiens,3
B7ZLQ8,55.75,Homo sapiens,4
B7ZLX3,48.028,Homo sapiens,5
B7ZLZ0,48.2425,Homo sapiens,4
B7ZLZ2,51.661875,Homo sapiens,16
B7ZM03,53.69,Homo sapiens,1
B7ZM37,50.14,Homo sapiens,1
B7ZM82,62.79333333333333,Homo sapiens,3
B7ZMI4,49.525000000000006,Homo sapiens,2
B7ZMP1,53.89666666666667,Mus musculus,3
B7ZNG0,40.19,Mus musculus ,1
B7ZNP0,49.75,Mus musculus,2
B7ZNP2,51.875,Mus musculus,2
B7ZNS2,51.455,Mus musculus,2
B7ZP47,47.75,Mus musculus,2
B7ZUU7,53.57,Danio rerio,1
B7ZUU8,49.79,Danio rerio,1
B7ZUZ8,50.52,Danio rerio,1
B7ZV06,52.66,Danio rerio,1
B7ZV28,48.95,Danio rerio,1
B7ZV91,52.99,Danio rerio,1
B7ZVC4,49.36,Danio rerio,1
B7ZVK1,51.27,Danio rerio,1
B7ZVM2,51.75,Danio rerio,1
B7ZVV5,50.5,Danio rerio,1
B7ZWE5,49.239999999999995,Mus musculus,2
B7ZWL1,48.545,Mus musculus,2
B8A470,48.32,Danio rerio,1
B8A4D7,56.5,Danio rerio,1
B8A4H5,50.8,Danio rerio,1
B8A4L8,53.84,Danio rerio,1
B8A4V8,53.07,Danio rerio,1
B8A4X7,53.43,Danio rerio,1
B8A4Y6,53.71,Danio rerio,1
B8A4Z4,51.49,Danio rerio,1
B8A521,52.58,Danio rerio,1
B8A5D3,48.33,Danio rerio,1
B8A5G8,50.92,Danio rerio,1
B8A5I1,50.08,Danio rerio,1
B8A5K9,49.62,Danio rerio,1
B8A5M8,48.82,Danio rerio,1
B8A6B8,53.65,Danio rerio,1
B8A6E8,52.66,Danio rerio,1
B8A6F4,48.3,Danio rerio,1
B8A6I1,47.33,Danio rerio,1
B8JHR9,51.96,Danio rerio,1
B8JI08,47.94,Danio rerio,1
B8JI15,50.52,Danio rerio,1
B8JI33,53.06,Danio rerio,1
B8JI52,49.0,Danio rerio,1
B8JIS9,53.83,Danio rerio,1
B8JJ32,52.34,Danio rerio,1
B8JJC1,54.08,Mus musculus,2
B8JJU5,54.55,Danio rerio,1
B8JK39,56.72,Mus musculus ,1
B8JK66,59.33,Mus musculus,1
B8JKJ2,52.84,Danio rerio,1
B8JKK2,57.25,Mus musculus,1
B8JKQ1,53.15,Danio rerio,1
B8JL46,48.4,Danio rerio,1
B8JLK1,53.17,Danio rerio,1
B8JLK7,51.17,Danio rerio,1
B8JLL1,53.08,Danio rerio,1
B8JLP0,49.68,Danio rerio,1
B8JLR1,49.81,Danio rerio,1
B8JLW8,50.04,Danio rerio,1
B8JM87,45.11,Danio rerio,1
B8JMZ1,50.2,Danio rerio,1
B8K288,47.87,Homo sapiens,1
B8PRB8,48.08,Danio rerio,1
B8Q185,52.989999999999995,Homo sapiens,2
B8X2Z3,56.78777777777778,Homo sapiens,9
B8ZXI1,49.84,Mus musculus ,1
B8ZZ50,49.58,Homo sapiens,1
B8ZZ80,46.9,Homo sapiens,1
B8ZZ99,52.7725,Homo sapiens,4
B8ZZB8,54.405,Homo sapiens,2
B8ZZC7,51.81,Homo sapiens,2
B8ZZC8,55.075,Homo sapiens,2
B8ZZD4,51.583333333333336,Homo sapiens,6
B8ZZF3,55.76,Homo sapiens,1
B8ZZF5,58.8,Homo sapiens,2
B8ZZG1,49.33,Homo sapiens,4
B8ZZI4,49.3,Homo sapiens,1
B8ZZI5,52.455,Homo sapiens,2
B8ZZI7,53.89,Homo sapiens,1
B8ZZJ1,54.73,Homo sapiens,4
B8ZZJ9,50.81,Homo sapiens,6
B8ZZK4,56.08571428571429,Homo sapiens,7
B8ZZN3,51.525,Homo sapiens,2
B8ZZN6,50.13272727272727,Homo sapiens,11
B8ZZS2,44.614999999999995,Homo sapiens,2
B8ZZS4,51.23666666666667,Homo sapiens,3
B8ZZT4,61.73,Homo sapiens,1
B8ZZT9,50.322,Homo sapiens,5
B8ZZU6,53.95,Homo sapiens,4
B8ZZU8,55.551,Homo sapiens,10
B8ZZV6,54.11,Homo sapiens,1
B8ZZV9,49.456,Homo sapiens,5
